40 10
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 1
I1 2
I1 3
I1 4
I1 5
I1 6
I1 7
I1 8
I1 9
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
S1 5
Z2 1
T4 6
O 1
O 2
O 3
O 4
O 5
O 5
O 6
O 4
O 7
O 9
O 1
O 3
O 2
O 4
O 1
O 3
O 2
O 4
O 1
O 3
O 2
O 4
O 3
O 7
O 1
O 5
O 3
O 7
S1 7
Z1 5
S2 7
S1 7
O 3
O 9
S1 3
Z2 1
Z2 3
O 5
Z2 7
O 1
O 1
O 1
L2 3
L2 7
I2 7
I2 7
I2 1
S2 5
J4 8
I2 1
J3 6
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 10
I1 5
I1 6
I1 9
I1 9
I1 9
S2 7
L2 1
L2 8
T1 3
S1 1
I2 4
L2 1
T1 4
I2 7
J3 3
Z1 1
S1 4
I2 7
I1 7
End
